DATAFLOW,LAST UPDATE,freq,species,fishreg,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2000,21051.2,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2001,18464,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2002,21210.5,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2003,19938,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2004,30135.1,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2005,34649.6,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2006,37830.1,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2007,48633.71,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2008,49011,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2009,55364.5,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2010,52396.9,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2011,70534.02,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2012,63599.02,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2013,75267.231,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2014,79944.5442,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2015,73487.6321,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2016,72865.3443,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2017,69561.05,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2018,70068.3,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2019,64019.9247,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2020,71222.5545,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2021,62039.2585,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2022,63492.571,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F00,37,TLW,HR,2023,56280.6572,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2000,21051.2,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2001,18464,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2002,21210.5,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2003,19938,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2004,30135.1,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2005,34649.6,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2006,37830.1,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2007,48633.71,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2008,49011,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2009,55364.5,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2010,52396.9,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2011,70534.02,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2012,63599.02,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2013,75267.231,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2014,79944.5442,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2015,73487.6321,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2016,72865.3443,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2017,69561.05,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2018,70068.3,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2019,64019.9247,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2020,71222.5545,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2021,62039.2585,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2022,63492.571,
ESTAT:FISH_CA_ATL37(1.0),03/10/24 23:00:00,A,F01,37,TLW,HR,2023,56280.6572,
