DATAFLOW,LAST UPDATE,freq,species,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2008,814.6,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2010,353.7,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2011,361.55,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2012,378.36,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2013,378.36,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2014,376.3,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2015,436.22,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2016,432.07,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2017,581.801,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2018,673.119,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2019,745.047,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2020,1294.016,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2021,812.486,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F00,TLW,HR,2022,689.889,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2008,814.6,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2010,353.7,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2011,361.55,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2012,378.36,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2013,378.36,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2014,376.3,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2015,436.22,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2016,432.07,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2017,581.801,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2018,673.119,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2019,745.047,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2020,1294.016,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2021,812.486,
ESTAT:FISH_AQ3(1.0),17/06/24 11:00:00,A,F01,TLW,HR,2022,689.889,
